project,sha,OD_test_id,type,time,patch_path,linenumber_patch
BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,Tracker/tests/test_event.py::TestEvent::test_object,brittle,0.416636139,../SAVE/test_object_patch_6f888d85712ae52d73dd5f7a09217888_.patch,1
Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_command_context.py::test_manual_context_noccr,brittle,0.87046383,../SAVE/test_manual_context_noccr_patch_efc284e052c9510101e6c276e7129439_.patch,1
Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_loading,brittle,1.278773289,../SAVE/test_loading_patch_682b45fdfa385baf7128c90e5f605bc5_.patch,1
Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_reloading,brittle,1.239819976,../SAVE/test_reloading_patch_edb2602821e73654343683ea6317d332_.patch,1
Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_context_commands,brittle,0.85616614,../SAVE/test_context_comm_patch_9bd3ec505fc21c395b236dda6ced51ff_.patch,1
Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_invalid,brittle,2.228778467,../SAVE/test_invalid_patch_13dd514860d7ba442d8660d9f86d44d7_.patch,1
Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_noccr_commands,brittle,2.505347702,../SAVE/test_noccr_comman_patch_ac8a0b531564edbad471ffe257069252_.patch,1
GOApy,a8e0dfe5f0f593107884ad54f89a27f67ee28129,tests/Sensor_test.py::SensorsTest::test_remove_sensor_success,brittle,5.589196054,../SAVE/test_remove_senso_patch_4f92ff064f2245be9a33ce3ddc27cbd7_.patch,4
HikLoad,b3eb7be65bd34040992e1b7b15f23ff4ce2e8dc4,tests/test_config.py::test_envvar,brittle,0.789618067,../SAVE/test_envvar_patch_a7afa32c6367dc9a47e5c96a33152751_.patch,1
LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,tests/medida_test.py::test_medida_si_2,brittle,1.002753223,../SAVE/test_medida_si_2_patch_cbe626a3008997c09837e66d462a7b63_.patch,1
LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,tests/medida_test.py::test_medida_si_3,brittle,1.050935254,../SAVE/test_medida_si_3_patch_04298aab65f0e3fe0dbb994533db89b6_.patch,1
NestedDictionary,881f0ea8af36a60fcd1b9d7a84b1aec4cd7072b2,easy_dict/tests/test_01_default.py::test_del,brittle,1.616171185,../SAVE/test_del_patch_34aa65703abf1e9dc74fb4c2a254aad1_.patch,1
PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_is_terminal,brittle,0.890101986,../SAVE/test_is_terminal_patch_02c381785999f332c91adcf46a3b1457_.patch,1
PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_vertex_exists,brittle,0.450283415,../SAVE/test_vertex_exists_patch_2c8a2c8b5bfdce4ea4d44b33365bb5a6_.patch,1
YAROM,cd4fb6cb8fac72a198858225ce89ad8b9c9175fd,tests/test_mapper.py::MapperTest::test_children_are_added,brittle,1.358638947,../SAVE/test_children_are_patch_df2309025d935dddc661068055f55d75_.patch,1
YAROM,cd4fb6cb8fac72a198858225ce89ad8b9c9175fd,tests/test_mapper.py::MapperTest::test_children_are_deregistered,brittle,1.417739041,../SAVE/test_children_are_patch_25ec24d1ab2980f04a82ad9a81282ad1_.patch,1
YAROM,cd4fb6cb8fac72a198858225ce89ad8b9c9175fd,tests/test_mapper.py::MapperTest::test_object_from_id_class,brittle,1.426842238,../SAVE/test_object_from__patch_322e7dcc6c427b495194330fb6df00a9_.patch,1
alphanum_code,fb5cd313dc41f046aac01ff01d6e1561d17894a6,tests/test_alphanum_code.py::test_next_code,brittle,1.474927232,../SAVE/test_next_code_patch_de4fcd0c5e0801ba4ae97a0f804286d7_.patch,1
api-python,6d09ca1557da0af893f008f7302801f12afc2d46,datacommons/test/set_api_key_test.py::TestApiKey::test_query_no_api_key,brittle,1.478652353,../SAVE/test_query_no_api_key_patch_e7d9738441de7e1398be2b7d578cf0ce_.patch,1
api-python,6d09ca1557da0af893f008f7302801f12afc2d46,datacommons/test/set_api_key_test.py::TestApiKey::test_send_request_no_api_key,brittle,1.455059981,../SAVE/test_send_request_no_api_key_patch_5506d5c4b48ea392c43acf404cda314d_.patch,1
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_config,brittle,6.517891595,../SAVE/test_config_patch_4ed960f83fe05b54045b3999b930268e_.patch,1
aud,2dfc81dad3da78537e1b1c6f5cc5630ba5b837f9,aud/test_aud.py::test_dir,brittle,5.894887332,../SAVE/test_dir_patch_e29605198a52ca9dea014d70b1cf5242_.patch,5
autodiscover,3009f81c51b7a4cb077427e429d740db98eb173b,tests/test_autodiscover.py::TestAutoDiscover::test_autodiscover_with_pattern,brittle,5.878854196,../SAVE/test_autodiscover_with__patch_5ad39e23a39a42d662a71f45a129cb8d_.patch,4
autoyaml,be3f450667bcca477683e63bcc49c67c5d170855,tests/autoyaml_test.py::TestAutoyamlMethods::test_b_decrypt_config,brittle,3.32751195,../SAVE/test_b_decrypt_conf_patch_bf9d097a1db1435f1b9046c45e69b882_.patch,1
autoyaml,be3f450667bcca477683e63bcc49c67c5d170855,tests/autoyaml_test.py::TestEncryptorMethods::test_b_decrypt,brittle,3.426206877,../SAVE/test_b_decrypt_patch_ccd820868247fbf11630602f019318d8_.patch,3
basic_auth,622f2133c13988cec549f4ea55bed14e50f90876,tests/test_general.py::test_file_data_arguments,brittle,1.828877692,../SAVE/test_file_data_arguments_patch_006687e8d8e846db4bc82b84f498d11b_.patch,4
basic_auth,622f2133c13988cec549f4ea55bed14e50f90876,tests/test_wso.py::test_file_data_arguments,brittle,1.772331126,../SAVE/test_file_data_arguments_patch_478785c241444df2807d3712270de69b_.patch,4
bluebees,ca18ee6dae60393480bac3893038790957727748,tests/test_application_data.py::test_cleanup,brittle,21.41180529,../SAVE/test_cleanup_patch_e4f6479543d5802e02b180132d6031dc_.patch,8
bluebees,ca18ee6dae60393480bac3893038790957727748,tests/test_network_data.py::test_cleanup,brittle,16.83663073,../SAVE/test_cleanup_patch_57109c34febf3337d1f8876e48d5bb9c_.patch,16
bluebees,ca18ee6dae60393480bac3893038790957727748,tests/test_node_data.py::test_cleanup,brittle,13.34125081,../SAVE/test_cleanup_patch_ef6538ca4093431eb572ebeceebad0ca_.patch,13
carbonize,efc89b8a9e44f9d64110406ce70929a9671517c7,tests/test_api.py::TestFootprint::test_flight_two_way,brittle,1.388919171,../SAVE/test_flight_tw_patch_6ee31fc6345c13472ba9b361a2c7cea6_.patch,1
centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,tests/test_command.py::TestCommands::test_command_list,brittle,10.12810444,../SAVE/test_command_list_patch_3af902b06e9c29c84802a9a08e7c2ba4_.patch,2
centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,tests/test_command.py::TestCommands::test_command_not_exist,brittle,9.909077414,../SAVE/test_command_not_e_patch_42e9511203d008affc731fc18f11d13e_.patch,2
centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,tests/test_command.py::TestCommands::test_command_setparam,brittle,7.301523846,../SAVE/test_command_setpa_patch_05e6fec64355fbed94ccfc2c480e356b_.patch,8
centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,tests/test_hosts.py::TestHosts::test_hosts_list,brittle,11.82580287,../SAVE/test_hosts_list_patch_bd3da6c2493136c0703de7a0d5c60a66_.patch,2
centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,tests/test_hosts.py::TestHosts::test_hosts_not_exist,brittle,11.5868984,../SAVE/test_hosts_not_e_patch_b333910f18e70e5a6d909260641ab624_.patch,2
centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,tests/test_resourcecfg.py::TestResourceCFG::test_resourcecfg_building_line,brittle,10.46792755,../SAVE/test_resourcecfg_build_patch_a8f0b19c993f3c23594ba87a28d9fbff_.patch,2
centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,tests/test_resourcecfg.py::TestResourceCFG::test_resourcecfg_get_one,brittle,10.85039103,../SAVE/test_resourcecfg_get_o_patch_a87b008179af3e8d7e77ae47fabb24cf_.patch,2
centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,tests/test_resourcecfg.py::TestResourceCFG::test_resourcecfg_not_exist,brittle,10.77927643,../SAVE/test_resourcecfg_not_e_patch_d2567af860d7152da67c0dd37d78735f_.patch,2
centreon-sdk-python,9f207d5458afc3304e24f16988069467b19eab81,tests/test_resourcecfg.py::TestResourceCFG::test_resourcecfg_setparam,brittle,7.218032055,../SAVE/test_resourcecfg_setpa_patch_3eba914c28853513e19958b08e163ecd_.patch,8
cfgsaver,9654076b418c96bcddbf2fddc5fdb0f6f4117278,test/test_cfgsaver.py::test_get,brittle,0.87775521,../SAVE/test_get_patch_13a97728f14e8d8959c1ff0e64e5cbf6_.patch,1
cloudnetpy,26f2607b890630146469cfa410fce99438ceee3f,tests/unit/test_classify.py::TestFindRain::test_3,brittle,7.018834997,../SAVE/test_3_patch_d154adec459f4abc878356c572786887_.patch,1
compilertools,7b898cb6970f5f25c5356b15a2efd0cb2e54d566,tests/test_build.py::tests_patch___new__,brittle,2.609941812,../SAVE/tests_patch___ne_patch_cdb5c7b4bcbd4098f8cc26e1f843c58c_.patch,1
devtracker,ea892d6d48aa5d4627b429469b59ae3f0ce7f10f,devtracker/test_devtracker.py::test_current_status,brittle,1.409140315,../SAVE/test_current_status_patch_1ea10e343452ccd339c2a6ce50ce8f2a_.patch,1
dzonegit,8f952086aa41aee4ebb7432926ed8c6a9211ac9f,test_dzonegit.py::test_get_altered_files,brittle,16.85243021,../SAVE/test_get_alte_patch_7748e0efeefe7cff49d6a99a3217192e_.patch,5
dzonegit,8f952086aa41aee4ebb7432926ed8c6a9211ac9f,test_dzonegit.py::test_get_file_contents,brittle,4.653625761,../SAVE/test_get_file_patch_e8a26a82ea2a51b10f1b78a3eabb3b56_.patch,2
