Project_Name,Project_URL,Project_Hash,Test_filename,Test_classname,Test_funcname,Test_parametrization,Order-dependent,Verdict_Isolated,Verdict_OriginalOrder
JavPy,https://github.com/TheodoreKrypton/JavPy,61df53aafbfbd05ed1efa8c51a08d6e9252cb533,JavPy/tests/test_clients/test_telegram.py,,test_new,[params0],True,Passed,Passed
danlp,https://github.com/alexandrainst/danlp,0c7169e4c8b0595205fbb7bdf64ce4f2ca79edcc,tests/test_datasets.py,TestNerDatasets,test_ddt_dataset_with_spacy,,True,Passed,Passed
danlp,https://github.com/alexandrainst/danlp,0c7169e4c8b0595205fbb7bdf64ce4f2ca79edcc,tests/test_datasets.py,TestSentimentDatasets,test_europarlsentiment1,,True,Passed,Passed
danlp,https://github.com/alexandrainst/danlp,0c7169e4c8b0595205fbb7bdf64ce4f2ca79edcc,tests/test_datasets.py,TestSentimentDatasets,test_lccsentiment,,True,Passed,Passed
danlp,https://github.com/alexandrainst/danlp,0c7169e4c8b0595205fbb7bdf64ce4f2ca79edcc,tests/test_flair_models.py,TestNerTaggers,test_flair_tagger,,True,Passed,Flaky
danlp,https://github.com/alexandrainst/danlp,0c7169e4c8b0595205fbb7bdf64ce4f2ca79edcc,tests/test_spacy_model.py,TestSpacyModel,test_predictions,,True,Passed,Flaky
dynamic-conf,https://github.com/jnoortheen/dynamic-conf,42257f06a66765ac4f5de1c6a4637f4db779c5ab,tests/test_conf.py,,test_cofig_writing,[env.py-ARG1 = 'VAL1'\nARG2 = 'VAL2'],True,NotAnalysed,Passed
dynamic-conf,https://github.com/jnoortheen/dynamic-conf,42257f06a66765ac4f5de1c6a4637f4db779c5ab,tests/test_conf.py,,test_cofig_writing_with_dump,[env.py-ARG1 = 'VAL1'\nARG3 = 3\nARG2 = 'VAL2'],True,NotAnalysed,Passed
dynamic-conf,https://github.com/jnoortheen/dynamic-conf,42257f06a66765ac4f5de1c6a4637f4db779c5ab,tests/test_conf.py,,test_cofig_writing_with_filter_prefix,[env.py-ARG1 = 'VAL1'\nARG2 = 'VAL2'],True,NotAnalysed,Passed
ext_pylib,https://github.com/hbradleyiii/ext_pylib,15a9b5a80db87b5f20e03ef6bfa015acf4bf8543,tests/files/test_node.py,,test_node_repr,"[atts0-{'path' : None, 'perms' : None, 'owner' : None, 'group' : None}]",True,NotAnalysed,Passed
ext_pylib,https://github.com/hbradleyiii/ext_pylib,15a9b5a80db87b5f20e03ef6bfa015acf4bf8543,tests/files/test_node.py,,test_node_repr,"[atts1-{'path' : '/this/path/file', 'perms' : None, 'owner' : None, 'group' : None}]",True,NotAnalysed,Passed
ext_pylib,https://github.com/hbradleyiii/ext_pylib,15a9b5a80db87b5f20e03ef6bfa015acf4bf8543,tests/files/test_node.py,,test_node_repr,"[atts2-{'path' : '/etc/path/file', 'perms' : 0o655, 'owner' : None, 'group' : None}]",True,NotAnalysed,Passed
odinweb,https://github.com/python-odin/odinweb,198424133584acc18cb41c8d18d91f803abc810f,tests/test_containers.py,TestApiInterfaceBase,test_dispatch__invalid_headers,[r1-406-URI not available in preferred format],True,NotAnalysed,Passed
odinweb,https://github.com/python-odin/odinweb,198424133584acc18cb41c8d18d91f803abc810f,tests/test_containers.py,TestApiInterfaceBase,test_dispatch__invalid_headers,[r2-405-Specified method is invalid for this resource],True,NotAnalysed,Passed
panamah-sdk-python,https://github.com/casamagalhaes/panamah-sdk-python,746f3fb7ebcf01810917bf9afa8e7ff5a4efad21,tests/test_stream.py,TestStream,test_events,,True,Passed,Passed
reframe,https://github.com/eth-cscs/reframe,576eb3f1dcc015d1e6d7a10602c748d4f810da68,unittests/test_schedulers.py,,test_cancel,[local],True,Failed,Passed
reframe,https://github.com/eth-cscs/reframe,576eb3f1dcc015d1e6d7a10602c748d4f810da68,unittests/test_schedulers.py,,test_poll,[local],True,Failed,Passed
