Project_Name,Project_URL,Project_Hash,Polluter,Cleaner,Victim
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_helpers.py::test_extents,tests/test_analysis.py::TestChain::test_convergence_failure,tests/test_analysis.py::TestChain::test_summary_power
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_helpers.py::test_extents,tests/test_analysis.py::TestChain::test_divide_chains_default,tests/test_analysis.py::TestChain::test_summary_power
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_helpers.py::test_extents_summary,tests/test_analysis.py::TestChain::test_convergence_failure,tests/test_analysis.py::TestChain::test_summary_power
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_helpers.py::test_extents_summary,tests/test_analysis.py::TestChain::test_divide_chains_default,tests/test_analysis.py::TestChain::test_summary_power
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_chain.py::TestChain::test_cache_invalidation,tests/test_analysis.py::TestChain::test_convergence_failure,tests/test_analysis.py::TestChain::test_summary_power
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_chain.py::TestChain::test_cache_invalidation,tests/test_analysis.py::TestChain::test_divide_chains_default,tests/test_analysis.py::TestChain::test_summary_power
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_comparisons.py::test_dic_posterior_dependence,tests/test_analysis.py::TestChain::test_convergence_failure,tests/test_analysis.py::TestChain::test_summary_power
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_comparisons.py::test_dic_posterior_dependence,tests/test_analysis.py::TestChain::test_divide_chains_default,tests/test_analysis.py::TestChain::test_summary_power
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_comparisons.py::test_dic_posterior_dependence,tests/test_analysis.py::TestChain::test_summary,tests/test_diagnostic.py::test_geweke_index
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_comparisons.py::test_dic_posterior_dependence,tests/test_analysis.py::TestChain::test_summary_no_smooth,tests/test_diagnostic.py::test_geweke_index
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_analysis.py::TestChain::test_correlation_latex_table,tests/test_analysis.py::TestChain::test_summary_power,tests/test_diagnostic.py::test_geweke_index
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_analysis.py::TestChain::test_correlation_latex_table,tests/test_analysis.py::TestChain::test_divide_chains_default,tests/test_diagnostic.py::test_geweke_index
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_comparisons.py::test_aic_data_dependence,tests/test_analysis.py::TestChain::test_summary,tests/test_diagnostic.py::test_geweke_index
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_comparisons.py::test_aic_data_dependence,tests/test_analysis.py::TestChain::test_summary_no_smooth,tests/test_diagnostic.py::test_geweke_index
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_diagnostic.py::test_gelman_rubin_name_fails,tests/test_analysis.py::TestChain::test_summary,tests/test_diagnostic.py::test_geweke_index
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_diagnostic.py::test_gelman_rubin_name_fails,tests/test_analysis.py::TestChain::test_summary_no_smooth,tests/test_diagnostic.py::test_geweke_index
