Project_Name,Project_URL,Project_Hash,Test1,Message1,Test2,Message2,Script,Gruber
logzero,https://github.com/metachris/logzero,b5d49fc2b118c370994c4ae5360d7c246d43ddc8,tests/test_logzero.py::test_default_logger_stderr_output,AssertionError: assert '] debug1' in '',tests/test_logzero.py::test_write_to_logfile_and_stderr,nan,failed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/integration/roster/test_ncaaf_roster.py::TestNCAAFPlayer::test_ncaaf_kicker_returns_expected_kicking_stats,"AssertionError: assert 111 == 91
 +  where 111 = getattr(<sportsreference.ncaaf.roster.Player object at 0x7f6031b6d0d0>, 'extra_points_made')",tests/integration/roster/test_ncaaf_roster.py::TestNCAAFPlayer::test_ncaaf_tight_end_skips_passing_without_errors,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_saves_multiple_goalies_empty_field,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_shutout_single_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_saves_single_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_shutout_multiple_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_shutout_multiple_goalies_empty_field,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_saves_multiple_goalies_empty_field,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_shutout_multiple_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_home_shutout_single_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_shutout_multiple_goalies_empty_field,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_saves_single_goalies,AttributeError: 'Boxscore' object has no attribute '_away_skaters',tests/unit/test_nhl_boxscore.py::TestNHLBoxscore::test_away_team_wins,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/integration/teams/test_nba_integration.py::TestNBAIntegration::test_pulling_team_directly,TypeError: 'NoneType' object is not subscriptable,tests/integration/teams/test_nba_integration.py::TestNBAIntegration::test_nba_integration_returns_correct_attributes_for_team,nan,passed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/integration/roster/test_ncaaf_roster.py::TestNCAAFPlayer::test_ncaaf_kicker_returns_expected_kicking_stats,"AssertionError: assert 111 == 91
 +  where 111 = getattr(<sportsreference.ncaaf.roster.Player object at 0x7fc3ae65d190>, 'extra_points_made')",tests/integration/roster/test_ncaaf_roster.py::TestNCAAFPlayer::test_ncaaf_player_returns_requested_career_stats,nan,failed,Passed
sportsreference,https://github.com/roclark/sportsreference,0041953074d6c20f607049917f3b526c9af686a4,tests/integration/roster/test_ncaaf_roster.py::TestNCAAFPlayer::test_ncaaf_kicker_returns_expected_kicking_stats,"AssertionError: assert 111 == 91
 +  where 111 = getattr(<sportsreference.ncaaf.roster.Player object at 0x7fb8a6b5a160>, 'extra_points_made')",tests/integration/roster/test_ncaaf_roster.py::TestNCAAFRoster::test_roster_class_pulls_all_player_stats,nan,passed,Passed
