Project_Name,Project_URL,Project_Hash,Test1,Message1,Test2,Message2,Script,Gruber
logzero,https://github.com/metachris/logzero,b5d49fc2b118c370994c4ae5360d7c246d43ddc8,tests/test_logzero.py::test_bytes,nan,tests/test_logzero.py::test_write_to_logfile_and_stderr,AssertionError: assert ' test_logzero:' in '',failed,Passed
logzero,https://github.com/metachris/logzero,b5d49fc2b118c370994c4ae5360d7c246d43ddc8,tests/test_logzero.py::test_setup_logger_logfile_custom_loglevel,nan,tests/test_logzero.py::test_write_to_logfile_and_stderr,"assert ' test_logzero:' in '--- Logging error ---\nTraceback (most recent call last):\n  File ""/usr/lib/python3.8/logging/__init__.py"", line 1088...in test_write_to_logfile_and_stderr\n    logger.info(""test log output"")\nMessage: \'test log output\'\nArguments: ()\n'",failed,Passed
logzero,https://github.com/metachris/logzero,b5d49fc2b118c370994c4ae5360d7c246d43ddc8,tests/test_logzero.py::test_unicode,nan,tests/test_logzero.py::test_write_to_logfile_and_stderr,AssertionError: assert ' test_logzero:' in '',failed,Passed
logzero,https://github.com/metachris/logzero,b5d49fc2b118c370994c4ae5360d7c246d43ddc8,tests/test_logzero.py::test_custom_formatter,nan,tests/test_logzero.py::test_write_to_logfile_and_stderr,AssertionError: assert ' test_logzero:' in '',failed,Passed
logzero,https://github.com/metachris/logzero,b5d49fc2b118c370994c4ae5360d7c246d43ddc8,tests/test_logzero.py::test_loglevel,nan,tests/test_logzero.py::test_write_to_logfile_and_stderr,AssertionError: assert ' test_logzero:' in '',passed,Passed
pytest-django,https://github.com/pytest-dev/pytest-django,e613a885b019574e3c60f127539c878b187c914a,tests/test_fixtures.py::TestLiveServer::test_serve_static_with_staticfiles_app,nan,tests/test_fixtures.py::TestLiveServer::test_settings_restored,AttributeError: type object 'TestLiveServer' has no attribute '_test_settings_before_run',passed,Failed
pytest-django,https://github.com/pytest-dev/pytest-django,e613a885b019574e3c60f127539c878b187c914a,tests/test_fixtures.py::test_django_assert_num_queries_output,nan,tests/test_fixtures.py::TestLiveServer::test_settings_restored,AttributeError: type object 'TestLiveServer' has no attribute '_test_settings_before_run',passed,Failed
pytest-django,https://github.com/pytest-dev/pytest-django,e613a885b019574e3c60f127539c878b187c914a,tests/test_fixtures.py::TestSettings::test_modify_existing,nan,tests/test_fixtures.py::TestLiveServer::test_settings_restored,AttributeError: type object 'TestLiveServer' has no attribute '_test_settings_before_run',passed,Failed
pytest-django,https://github.com/pytest-dev/pytest-django,e613a885b019574e3c60f127539c878b187c914a,tests/test_fixtures.py::TestSettings::test_modify_existing_again,nan,tests/test_fixtures.py::TestLiveServer::test_settings_restored,AttributeError: type object 'TestLiveServer' has no attribute '_test_settings_before_run',passed,Failed
pytest-django,https://github.com/pytest-dev/pytest-django,e613a885b019574e3c60f127539c878b187c914a,tests/test_fixtures.py::TestSettings::test_deleted,nan,tests/test_fixtures.py::TestLiveServer::test_settings_restored,AttributeError: type object 'TestLiveServer' has no attribute '_test_settings_before_run',failed,Failed
