Project,URL,SHA,Polluter,Victim,#Cleaners
ColonyScanalyser,https://github.com/Erik-White/ColonyScanalyser,38034b7d62a7c4f72a9f6981d0218c23f22cc7c8,tests/unit/test_base.py::TestUnique::test_id[2],tests/unit/test_base.py::TestUnique::test_init,0
ColonyScanalyser,https://github.com/Erik-White/ColonyScanalyser,38034b7d62a7c4f72a9f6981d0218c23f22cc7c8,tests/unit/test_base.py::TestUnique::test_id[10000000],tests/unit/test_base.py::TestUnique::test_init,0
ColonyScanalyser,https://github.com/Erik-White/ColonyScanalyser,38034b7d62a7c4f72a9f6981d0218c23f22cc7c8,tests/unit/test_base.py::TestUnique::test_id[1],tests/unit/test_base.py::TestUnique::test_init,0
ColonyScanalyser,https://github.com/Erik-White/ColonyScanalyser,38034b7d62a7c4f72a9f6981d0218c23f22cc7c8,tests/unit/test_base.py::TestUnique::test_id[1],tests/unit/test_base.py::TestUnique::test_unique,0
ColonyScanalyser,https://github.com/Erik-White/ColonyScanalyser,38034b7d62a7c4f72a9f6981d0218c23f22cc7c8,tests/unit/test_base.py::TestUnique::test_id[2],tests/unit/test_base.py::TestUnique::test_unique,0
ColonyScanalyser,https://github.com/Erik-White/ColonyScanalyser,38034b7d62a7c4f72a9f6981d0218c23f22cc7c8,tests/unit/test_base.py::TestUnique::test_id[10000000],tests/unit/test_base.py::TestUnique::test_unique,0
firebase-live-data,https://github.com/heston/firebase-live-data,dd73615ccfae11e95830f49df8d3a90546d671f5,tests/test_watcher.py::test_watch__existing_name,tests/test_watcher.py::test_watch__not_stale,0
firebase-live-data,https://github.com/heston/firebase-live-data,dd73615ccfae11e95830f49df8d3a90546d671f5,tests/test_watcher.py::test_watch__unknown_name,tests/test_watcher.py::test_watch__not_stale,0
firebase-live-data,https://github.com/heston/firebase-live-data,dd73615ccfae11e95830f49df8d3a90546d671f5,tests/test_watcher.py::test_watch__existing_name,tests/test_watcher.py::test_watch__stale,0
firebase-live-data,https://github.com/heston/firebase-live-data,dd73615ccfae11e95830f49df8d3a90546d671f5,tests/test_watcher.py::test_watch__unknown_name,tests/test_watcher.py::test_watch__stale,0
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client1-None-401],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],0
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],0
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client2-None-401],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],0
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401],2
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments_with_wrap,cynergy/tests/test_register_multiple.py::test_register_multiple,6
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_multiple_list_arguments,cynergy/tests/test_register_multiple.py::test_register_multiple,6
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py::test_register_multiple_when_onc_instance_is_already_registered,cynergy/tests/test_register_multiple.py::test_register_multiple,6
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_occam_data.py::test_occam_data_not_save_to_npy,2
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_attributes,test/test_occam_data.py::test_occam_data_not_save_to_npy,2
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_not_equal,test/test_occam_data.py::test_occam_data_not_save_to_npy,1
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_constructor_files,test/test_occam_data.py::test_occam_data_not_save_to_npy,2
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_wrong_input,test/test_occam_data.py::test_occam_data_not_save_to_npy,43
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_single_input,test/test_occam_data.py::test_occam_data_progress_bars,65
OccamTools,https://github.com/mortele/OccamTools,26c47709f6b870c89403f03ade0950de9f301639,test/test_occam_data.py::test_occam_data_not_equal,test/test_occam_data.py::test_occam_data_progress_bars,1
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_add_vertex,__tests__/test_simple_graph.py::TestSimpleGraph::test_num_vertex,0
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_vertex_neighbors,__tests__/test_simple_graph.py::TestSimpleGraph::test_num_vertex,0
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py::TestSimpleGraph::test_true_cycle_graph,__tests__/test_simple_graph.py::TestSimpleGraph::test_num_vertex,0
