Project_Name,Project_URL,Project_Hash,Test_filename,Test_id,Verdict_Isolated,Conflict
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_chain.py,tests/test_chain.py::TestChain::test_pass_in_dataframe3,passed,failed
ChainConsumer,https://github.com/samreay/ChainConsumer,3206a98f5e121ff3e17c30c840710bd7fda59fca,tests/test_diagnostic.py,tests/test_diagnostic.py::test_geweke_default_failed,passed,failed
RaspberryPiMovementDetector,https://github.com/KSanthanam/RaspberryPiMovementDetector,a415e5aca22fa41ce0eba0b61cf56d3035f92f64,tests/test_watch.py,tests/test_watch.py::TestWatch::test_ping[3-4-1-func_moved_in-func_moved_out],passed,failed
andriller,https://github.com/den4uk/andriller,5e856ca92ef7e9bf732f28cbd8e341181976654f,tests/test_config.py,tests/test_config.py::test_check_latest_version[9.8.7-True],passed,failed
centrosome,https://github.com/CellProfiler/centrosome,878a4ef7c3d39dcab893ed27838c9338c5721c5b,tests/test_cpmorphology.py,tests/test_cpmorphology.py::TestConvexHull::test_07_01_new_vs_old,passed,failed
gitlab_stats,https://github.com/Sylhare/gitlab_stats,23fbc53f30e09c122ebe8259ef6850756e454d7e,tests/test_utils.py,tests/test_utils.py::UtilsTest::test_222_report_regenerated,failed,passed
marlin,https://github.com/wilfredinni/marlin,85f4ae0080ee9a25c1b8d2e481725ac9c42ca99f,tests/test_marlin.py,tests/test_marlin.py::test_remove_bookmark,failed,passed
mountepy,https://github.com/butla/mountepy,796595f0011cc4a62cd7796dd71c3681008a4731,tests/test_mountebank.py,tests/test_mountebank.py::test_existing_mountebank_simple_imposter,passed,failed
nnweaver,https://github.com/gvinciguerra/nnweaver,e7a94d743f6eb118592524e30f54cda22cdc5e81,test/optimizers_test.py,test/optimizers_test.py::test_bundle_linear,passed,failed
nxviz,https://github.com/ericmjl/nxviz,d2a2a622e834148a9f4337dbe1021a05c5f18548,tests/test_geometry.py,tests/test_geometry.py::test_correct_negative_angle,failed,passed
policyd-rate-limit,https://github.com/nitmir/policyd-rate-limit,79eb4e1760fb9c0ea6e205cb6a0953be8105e0d4,policyd_rate_limit/tests/test_daemon.py,policyd_rate_limit/tests/test_daemon.py::DaemonTestCase::test_main_afinet_socket,passed,failed
pybl3p,https://github.com/gijzelaerr/pybl3p,98c102c02cb93803ee47941a48a8aa8d62fa4d6c,tests/test_public.py,tests/test_public.py::PublicTest::test_tradehistory,failed,passed
pydrobert-gpyopt,https://github.com/sdrobert/pydrobert-gpyopt,ce2699ca89687f848c2a86db44eed125d65886de,test_gpyopt.py,test_gpyopt.py::test_strings_are_provided,passed,failed
pylocus,https://github.com/LCAV/pylocus,78db89636cab345cab8d61adc3accd95899e2738,test/test_alternating.py,test/test_alternating.py::TestAlternating::test_zero_noise,passed,failed
pylocus,https://github.com/LCAV/pylocus,78db89636cab345cab8d61adc3accd95899e2738,test/test_emds.py,test/test_emds.py::TestEMDS::test_zero_noise,passed,failed
pyrieef,https://github.com/humans-to-robots-motion/pyrieef,73a82d3250db8b48a1602bd5422bb3902fc11e57,tests/test_workspace.py,tests/test_workspace.py::test_hexagon_jac,passed,failed
python-protobix,https://github.com/jbfavre/python-protobix,96b7095a9c2485c9e1bdba098b7d82b93f91acb1,tests/test_memory_leak.py,tests/test_memory_leak.py::test_long_run_for_memory_leak[items-2],passed,failed
webssh,https://github.com/huashengdun/webssh,51d527fe75a62aed239126a6697749a30baecb30,tests/test_app.py,tests/test_app.py::TestAppBasic::test_app_auth_with_valid_pubkey_by_multipart_form,passed,failed
wopmars,https://github.com/aitgon/wopmars,33680f94163d82ce43557cf7f87a5f9ead496fdc,wopmars/tests/test_wopmars.py,wopmars/tests/test_wopmars.py::TestWopmars::test_run_rerun_runtime,passed,failed
wqio,https://github.com/Geosyntec/wqio,8fcd57cc8b8365208eeee0162438307db0ca0dbb,wqio/tests/test_features.py,wqio/tests/test_features.py::test_location_stats_arrays[False-median_conf_interval],passed,failed
wqio,https://github.com/Geosyntec/wqio,8fcd57cc8b8365208eeee0162438307db0ca0dbb,wqio/tests/test_features.py,wqio/tests/test_features.py::test_location_stats_arrays[True-median_conf_interval],failed,passed
yapconf,https://github.com/loganasherjones/yapconf,f685ed6a6f532a8f836deb205fc2509e9422329b,tests/spec_test.py,tests/spec_test.py::test_watchers[label1],failed,passed
