Project_Name,Project_URL,Project_Hash,Test_filename,Test_classname,Test_funcname,Test_parametrization,Order-dependent,Verdict_Isolated,Verdict_OriginalOrder
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,Tracker/tests/test_event.py,TestEvent,test_object,,True,Failed,Failed
CMasher,https://github.com/1313e/CMasher,fccda3b76ac93e089f34be572b984b7718076756,cmasher/tests/test_utils.py,Test_import_cmaps,test_CMasher_cmaps,[rainforest],True,Passed,Passed
CmdKit,https://github.com/glentner/CmdKit,b8d4572612667080807b2b26d47c624a330c2872,tests/test_service.py,,test_agent,,True,Passed,Flaky
ConfigMaster,https://github.com/SunDwarf/ConfigMaster,8018aa415da55c84edaa8a49664f674758a14edd,test_configmaster.py,,test_dumps,,True,Passed,Passed
ConfigMaster,https://github.com/SunDwarf/ConfigMaster,8018aa415da55c84edaa8a49664f674758a14edd,test_configmaster.py,,test_initial_populate,,True,Failed,Passed
EZconfig,https://github.com/shalev67/EZconfig,2cedba67fbfe0ca448ccf7134b51e4e9329a6d16,tests/unit/test_basic_config.py,TestBasicConfig,test_list_config,,True,Passed,Passed
EZconfig,https://github.com/shalev67/EZconfig,2cedba67fbfe0ca448ccf7134b51e4e9329a6d16,tests/unit/test_load_config_from_env.py,TestLoadConfigFromEnv,test_load_config_from_env,,True,Passed,Passed
EasyJWT,https://github.com/BMeu/EasyJWT,49e888f5441b72c88ddf659c32b4f3096063f0e5,tests/compatibility_test.py,CompatibilityTest,test_downwards_compatibility,,True,Passed,Passed
EasyJWT,https://github.com/BMeu/EasyJWT,49e888f5441b72c88ddf659c32b4f3096063f0e5,tests/compatibility_test.py,CompatibilityTest,test_external_compatibility,,True,Passed,Passed
EasyJWT,https://github.com/BMeu/EasyJWT,49e888f5441b72c88ddf659c32b4f3096063f0e5,tests/easyjwt_test.py,EasyJWTTest,test_verify_failure_unsupported_algorithm,,True,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test__GtranRoute,,True,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans/,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_cache_translation,,True,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_translate_failsafe,,True,Failed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_translate_multi_new_mod,,True,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_translate_single_new_dest,,True,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_translate_template_initApp,,True,Passed,Passed
flask_googletrans,https://github.com/mrf345/flask_googletrans,e7ec3057bdbe57bb30928edc41fdeb0d19a0984d,test_fg.py,,test_translator_false_input,,True,Passed,Passed
Flask-InterfacePubSub,https://github.com/rafaelportugal/Flask-InterfacePubSub,60904ceafed88e25c1504aa0300d37780c09c50b,tests/unit/test_publisher.py,TestPublisher,test_default_client,,True,Passed,Passed
Flask-InterfacePubSub,https://github.com/rafaelportugal/Flask-InterfacePubSub,60904ceafed88e25c1504aa0300d37780c09c50b,tests/unit/test_publisher.py,TestPublisher,test_project_id,,True,Failed,Passed
Flask-InterfacePubSub,https://github.com/rafaelportugal/Flask-InterfacePubSub,60904ceafed88e25c1504aa0300d37780c09c50b,tests/unit/test_publisher.py,TestPublisher,test_publish,,True,Passed,Passed
Flask-InterfacePubSub,https://github.com/rafaelportugal/Flask-InterfacePubSub,60904ceafed88e25c1504aa0300d37780c09c50b,tests/unit/test_publisher.py,TestPublisher,test_topic_path,,True,Passed,Passed
IOCynergy,https://github.com/omersaraf/IOCynergy,1821423680f741d8ca06bcc6a02c8b21156f9ba0,cynergy/tests/test_register_multiple.py,,test_register_multiple,,True,Passed,Passed
LabIFSC,https://github.com/gjvnq/LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,tests/medida_test.py,,test_medida_si_2,,True,Failed,Passed
LabIFSC,https://github.com/gjvnq/LabIFSC,cb56b75f51eb54680d0b81f4c87aa0234538a2a8,tests/medida_test.py,,test_medida_si_3,,True,Failed,Passed
NestedDictionary,https://github.com/cahoy/NestedDictionary,881f0ea8af36a60fcd1b9d7a84b1aec4cd7072b2,easy_dict/tests/test_01_default.py,,test_del,,True,Failed,Passed
PBjam,https://github.com/grd349/PBjam,f387d840685831955c79dec83c792ab0d297aadc,pbjam/tests/test_asy_peakbag.py,,test_get_modeIDs,,True,Passed,Passed
PBjam,https://github.com/grd349/PBjam,f387d840685831955c79dec83c792ab0d297aadc,pbjam/tests/test_asy_peakbag.py,,test_get_summary_stats,,True,Passed,Passed
penman,https://github.com/goodmami/penman,e83cf6d006724d72a3e19a955aad94412da912b7,tests/test_layout.py,,test_rearrange,,True,Passed,Passed
Py-MI-PS,https://github.com/AshtonUPS/Py-MI-PS,2d22327c75bac1b58a4804a61e7a703ecc5ba978,src/PyMIPS/tests/register_test.py,,test_setting_to_num,,True,Passed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_delete_vertex,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_duplicated_edge,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_edge_exists,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_false_cycle_graph,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_false_regular_graph,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_is_terminal,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_list_graph_edges,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_list_graph_vertices,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_num_edges,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_num_vertex,,True,Passed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_show_edge,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_true_cycle_graph,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_vertex_degree,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_vertex_exists,,True,Failed,Passed
PyGraph,https://github.com/Rickecr/PyGraph,e81c3a0f543f5bfcda1a603c6dcecde13d582c57,__tests__/test_simple_graph.py,TestSimpleGraph,test_vertices_adjacency,,True,Failed,Passed
PyPOM,https://github.com/mozilla/PyPOM,9cb84df9d27b428b4e7423d1bbe6502e92990154,tests/test_driver.py,,test_register_driver,,True,Passed,Passed
PySyncDroid,https://github.com/DusanMadar/PySyncDroid,9a217a54f4286af8e7505c184eb2a6775f52d815,tests/test_sync.py,TestSync,test_do_sync,,True,Passed,Passed
PySyncObj,https://github.com/bakwc/PySyncObj,792b6112cfa234716f5e0408194114f1abc8b1ad,test_syncobj.py,,test_batteriesCommon,,True,Passed,Passed
PyXenaValkyrie,https://github.com/xenadevel/PyXenaValkyrie,92b45f1f37a5589cbdb9224a287fa0426d2c8d47,tests/test_errors.py,TestXenaErrors,test_errors,[socket],True,Passed,Passed
Rainy,https://github.com/kngwyu/Rainy,28a7ea53e577a9c209414b4fff3a22c6d8b530d0,tests/test_hooks.py,,test_video_hook_atari,,True,Failed,Passed
RandomFileTree,https://github.com/klieret/RandomFileTree,aaaa975ae61afa6f0f5b481ebafcfa0f0216e471,randomfiletree/test/test_core.py,TestTreeCreation,test_create_random_dirs,,True,Passed,Passed
