Project_Name,Project_URL,Project_Hash,Test_id,OD_Type,Polluter_or_Setter,Cleaner,Diff,Path
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,Tracker/tests/test_event.py::TestEvent::test_object,brittle,Tracker/tests/test_event.py::TestEvent::test_state_change,,"17a18
>         status.state = False
",BT-Tracker/ipflakies_result/d94526b0/patch/test_event_patch_91e72946.patch
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_loading,brittle,tests/test_loading.py::test_loading_failure,,"34a35,39
>     with open(file_path, 'w') as f:
>         f.write('\nfrom breathe import Breathe\nfrom ..testutils import DoNothing\n\nBreathe.add_commands(,,,\n    None,\n    {\n        ""apple"": DoNothing(),\n    }\n)\n')
>     modules = {'tests': {'my_grammar': ['fruit']}}
>     Breathe.load_modules(modules)
>     assert (len(Breathe.modules) == 1)
",Breathe/ipflakies_result/55d0ab3c/patch/test_loading_patch_1dd2b94c.patch
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_loading_failure,victim,tests/test_merger.py::test_core_commands,tests/test_loading.py::test_clear,"11a12
>     Breathe.clear()
",Breathe/ipflakies_result/4170278e/patch/test_loading_patch_6711ce75.patch
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py::test_reloading,brittle,tests/test_loading.py::test_loading_failure,,"51a52,56
>     with open(file_path, 'w') as f:
>         f.write('\nfrom breathe import Breathe\nfrom ..testutils import DoNothing\n\nBreathe.add_commands(,,,\n    None,\n    {\n        ""apple"": DoNothing(),\n    }\n)\n')
>     modules = {'tests': {'my_grammar': ['fruit']}}
>     Breathe.load_modules(modules)
>     assert (len(Breathe.modules) == 1)
",Breathe/ipflakies_result/2ec854e9/patch/test_loading_patch_1dd2b94c.patch
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_context_commands,brittle,tests/test_merger.py::test_core_commands,,"41a42
>     Breathe.add_commands(None, {'test one': DoNothing(), 'test two': DoNothing(), 'test three': DoNothing(), 'banana [<n>]': (DoNothing() * Repeat('n'))}, [IntegerRef('n', 1, 10, 1)])
",Breathe/ipflakies_result/a343ba34/patch/test_merger_patch_0cac14c1.patch
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_core_commands,victim,tests/test_command_context.py::test_manual_context,tests/test_command_context.py::test_manual_context_noccr,"27a28
>     engine.mimic(['disable', 'test'])
",Breathe/ipflakies_result/8f0372f0/patch/test_merger_patch_e84d29f7.patch
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_invalid,brittle,tests/test_command_context.py::test_manual_context,,"76a77
>     Breathe.add_commands(CommandContext('test'), {'pizza': DoNothing(), 'curry': DoNothing()})
",Breathe/ipflakies_result/b5d99e0c/patch/test_merger_patch_80641bc9.patch
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py::test_noccr_commands,brittle,tests/test_merger.py::test_global_extras,,"53a54
>     Breathe.add_global_extras(Dictation('text'))
",Breathe/ipflakies_result/a3dc25d2/patch/test_merger_patch_cd15fbd5.patch
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401],victim,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client1-None-401],"87a88
>         rv = jwt_router_client.get('/test')
",Flask-JWT-Router/ipflakies_result/198fd21d/patch/test_routing_patch_e9854ebb.patch
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client3-None-401],victim,tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client0-None-200],tests/test_routing.py::TestRouting::test_jwt_route[jwt_router_client2-None-401],"87a88
>         rv = jwt_router_client.get('/test')
",Flask-JWT-Router/ipflakies_result/198fd21d/patch/test_routing_patch_7ef6bafb.patch
GOApy,https://github.com/leopepe/GOApy,a8e0dfe5f0f593107884ad54f89a27f67ee28129,tests/Sensor_test.py::SensorsTest::test_remove_sensor_success,brittle,tests/Sensor_test.py::SensorsTest::test_add_success,,"27a28,31
>         self.sensors = Sensors()
>         self.sensors.add(name='SenseTmpDirState', shell='if [ -d ""/tmp/goap_tmp"" ]; then echo -n ""exist""; else echo -n ""not_exist""; fi', binding='tmp_dir_state')
>         self.sensors.add(name='SenseTmpDirContent', shell='[ -f /tmp/goap_tmp/.token ] && echo -n ""token_found"" || echo -n ""token_not_found""', binding='tmp_dir_content')
>         assert ('SenseTmpDirState' == str(self.sensors.get(name='SenseTmpDirState')))
",GOApy/ipflakies_result/95d2bae3/patch/Sensor_test_patch_71cc17cd.patch
HikLoad,https://github.com/Tedyst/HikLoad,b3eb7be65bd34040992e1b7b15f23ff4ce2e8dc4,tests/test_config.py::test_envvar,brittle,tests/test_config.py::test_defaultvar,,"9a10
>     config.CONFIG['server'] = '1'
",HikLoad/ipflakies_result/8d2f82d8/patch/test_config_patch_75f5c393.patch
