Project_Name,Project_URL,Project_Hash,Test_filename,Test_classname,Test_funcname,Test_parametrization,Order-dependent,Verdict_Isolated,Verdict_OriginalOrder
BT-Tracker,https://github.com/nordwind80/BT-Tracker,558c15b399871c1ca11d0c4ae1eb598e3060931e,Tracker/tests/test_event.py,Tracker.tests.test_event.TestEvent,test_object,,True,Failed,Failed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_command_context.py,tests.test_command_context,test_manual_context_noccr,,True,Failed,Passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py,tests.test_loading,test_loading,,True,Failed,Passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py,tests.test_loading,test_loading_failure,,True,Passed,Passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_loading.py,tests.test_loading,test_reloading,,True,Failed,Passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py,tests.test_merger,test_context_commands,,True,Failed,Passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py,tests.test_merger,test_core_commands,,True,Passed,Passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py,tests.test_merger,test_grammar_numbers,,True,Failed,Passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py,tests.test_merger,test_invalid,,True,Failed,Passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_merger.py,tests.test_merger,test_noccr_commands,,True,Failed,Passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_top_level.py,tests.test_top_level,test_recognition,,True,Failed,Passed
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,tests/test_top_level.py,tests.test_top_level,test_top_level_command_failure,,True,Failed,Passed
Butter.MAS.PythonAPI,https://github.com/bennymeg/Butter.MAS.PythonAPI,f86ebe75df3826f62a268645cdbe4400b43fab07,butter/mas/tests/clients/client_test.py,butter.mas.tests.api_test.TestUdpClientApiMethods,testMoveMotorInDirection,,True,Passed,Passed
Butter.MAS.PythonAPI,https://github.com/bennymeg/Butter.MAS.PythonAPI,f86ebe75df3826f62a268645cdbe4400b43fab07,butter/mas/tests/clients/client_test.py,butter.mas.tests.clients.client_http_test.TestHttpClientApiMethods,testGetAvailableAnimations,,True,Passed,Passed
